seq	start	end	strand	locus_tag	com_id	type	description
FQ312003.1	32115	32445	1	SL1344_0029	SL1344_0029	CDS	hypothetical membrane protein
FQ312003.1	32544	32994	-1	SL1344_0030	SL1344_0030	CDS	hypothetical membrane protein
FQ312003.1	33363	34368	1	SL1344_0031	SL1344_0031	CDS	hypothetical transcriptional regulator (lysR family)
FQ312003.1	34375	34816	-1	SL1344_0032	SL1344_0032	CDS	hypothetical membrane protein
FQ312003.1	35338	37057	1	SL1344_0033	SL1344_0033	CDS	possible sulfatase
FQ312003.1	37102	38674	-1	SL1344_0034	SL1344_0034	CDS	hypothetical secreted 5'-nucleotidase
FQ312003.1	38772	39534	-1	SL1344_0035	SL1344_0035	CDS	hypothetical exported protein
FQ312003.1	40130	41624	1	SL1344_0036	SL1344_0036	CDS	hypothetical secreted sulfatase
FQ312003.1	41722	42913	1	SL1344_0037	SL1344_0037	CDS	possible sulfatase regulatory protein
FQ312003.1	42931	44185	1	SL1344_0038	SL1344_0038	CDS	conserved hypothetical protein
FQ312003.1	44311	46027	1	SL1344_0039	SL1344_0039	CDS	possible sulfatase
FQ312003.1	46189	47356	1	SL1344_0040	nhaA	CDS	Na(+)/H(+) antiporter 1
FQ312003.1	47417	48317	1	SL1344_0041	nhaR	CDS	transcriptional activator protein NhaR
FQ312003.1	48371	50411	-1	SL1344_0042	SL1344_0042	CDS	hypothetical glycosyl hydrolase
FQ312003.1	50450	51824	-1	SL1344_0043	SL1344_0043	CDS	hypothetical transport protein
FQ312003.1	52279	52543	-1	SL1344_0044	rpsT	CDS	30S ribosomal protein S20
FQ312003.1	52648	52864	1	SL1344_0045	yaaY	CDS	conserved hypothetical protein
FQ312003.1	52871	53810	1	SL1344_0046	ribF	CDS	riboflavin biosynthesis protein RibF
FQ312003.1	53854	56689	1	SL1344_0047	ileS	CDS	isoleucyl-tRNA synthetase
FQ312003.1	56688	57189	1	SL1344_0048	lspA	CDS	lipoprotein signal peptidase
FQ312003.1	57343	57793	1	SL1344_0049	fkpB	CDS	probable FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase
FQ312003.1	57795	58746	1	SL1344_0050	ispH	CDS	LytB protein
FQ312003.1	58945	60148	1	SL1344_0051	SL1344_0051	CDS	conserved hypothetical protein
FQ312003.1	60163	61084	1	SL1344_0052	rihC	CDS	hypothetical nucleoside hydrolase (IUNH family)
FQ312003.1	61105	61792	-1	SL1344_0053	citB2	CDS	transcriptional regulatory protein
FQ312003.1	61793	63413	-1	SL1344_0054	citA2	CDS	two-component sensor kinase
FQ312003.1	63547	64849	-1	SL1344_0055	SL1344_0055	CDS	oxaloacetate decarboxylase beta chain (ec 4.1.1.3)
FQ312003.1	64861	66637	-1	SL1344_0056	SL1344_0056	CDS	oxaloacetate decarboxylase alpha chain
FQ312003.1	66653	66893	-1	SL1344_0057	oadG	CDS	oxaloacetate decarboxylase gamma chain
FQ312003.1	67051	68392	-1	SL1344_0058	SL1344_0058	CDS	citrate-sodium symporter
FQ312003.1	68636	69683	1	SL1344_0059	citC2	CDS	[citrate (PRO-3S)-lyase] ligase
FQ312003.1	69712	70006	1	SL1344_0060	citD2	CDS	citrate lyase acyl carrier protein
FQ312003.1	70002	70872	1	SL1344_0061	citE2	CDS	citrate lyase beta chain
FQ312003.1	70882	72403	1	SL1344_0062	citF2	CDS	citrate lyase alpha chain
FQ312003.1	72402	72954	1	SL1344_0063	citX2	CDS	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
FQ312003.1	72946	73840	1	SL1344_0064	citG2	CDS	triphosphoribosyl-dephospho-CoA synthase
FQ312003.1	74019	74841	1	SL1344_0065	dapB	CDS	dihydrodipicolinate reductase
FQ312003.1	75090	75438	1	SL1344_0066A	SL1344_0066A	pseudo	hypothetical viral protein (pseudogene)
FQ312003.1	75882	77031	1	SL1344_0067	carA	CDS	carbamoyl-phosphate synthase small chain
FQ312003.1	77049	80277	1	SL1344_0068	carB	CDS	carbamoyl-phosphate synthase large chain
FQ312003.1	80550	80946	1	SL1344_0069	caiF	CDS	transcriptional activator CaiF
FQ312003.1	81022	81619	-1	SL1344_0070	caiE	CDS	carnitine operon protein CaiE
FQ312003.1	81727	82513	-1	SL1344_0071	caiD	CDS	carnitine racemase
FQ312003.1	82566	84120	-1	SL1344_0072	caiC	CDS	probable crotonobetaine/carnitine-CoA ligase
FQ312003.1	84182	85454	-1	SL1344_0073	caiB	pseudo	L-carnitine dehydratase
FQ312003.1	85511	86654	-1	SL1344_0074	caiA	CDS	probable carnitine operon oxidoreductase CaiA
FQ312003.1	86688	88206	-1	SL1344_0075	caiT	CDS	probable carnitine transporter
FQ312003.1	88686	89457	1	SL1344_0076	fixA	CDS	probable flavoprotein subunit
FQ312003.1	89472	90414	1	SL1344_0077	fixB	CDS	probable flavoprotein subunit
FQ312003.1	90463	91750	1	SL1344_0078	fixC	CDS	probable flavoprotein subunit
FQ312003.1	91746	92034	1	SL1344_0079	fixX	CDS	ferredoxin like protein FixX
FQ312003.1	92180	93521	1	SL1344_0080	yaaU	CDS	hypothetical metabolite transport protein
FQ312003.1	93609	93840	1	SL1344_0081	SL1344_0081	CDS	hypothetical lipoprotein
FQ312003.1	94133	94550	1	SL1344_0082	SL1344_0082	CDS	probable secreted protein
FQ312003.1	94773	95064	-1	SL1344_0083	SL1344_0083	CDS	probable secreted protein
FQ312003.1	95133	95226	-1	SL1344_0083A	SL1344_0083A	pseudo	hypothetical membrane protein (pseudogene)
FQ312003.1	95961	97851	1	SL1344_0084	SL1344_0084	CDS	hypothetical sulfatase
FQ312003.1	98055	98121	-1	SL1344_0085	SL1344_0085	pseudo	hypothetical carnitinyl-CoA dehydratase (pseudogene)
FQ312003.1	98257	98788	1	SL1344_0086	yabF	CDS	hypothetical NAD(P)H oxidoreductase
FQ312003.1	98780	100643	1	SL1344_0087	kefC	CDS	glutathione-regulated potassium-efflux system protein KefC
FQ312003.1	100841	101321	1	SL1344_0088	folA	CDS	dihydrofolate reductase type I
FQ312003.1	101426	102275	-1	SL1344_0089	apaH	CDS	bis(5'-nucleosyl)-tetraphosphatase
FQ312003.1	102285	102663	-1	SL1344_0090	apaG	CDS	CorD protein
FQ312003.1	102665	103487	-1	SL1344_0091	ksgA	CDS	dimethyladenosine transferase
FQ312003.1	103483	104473	-1	SL1344_0092	pdxAa	CDS	pyridoxal phosphate biosynthetic protein PdxA
FQ312003.1	104472	105759	-1	SL1344_0093	surA	CDS	survival protein SurA precursor
FQ312003.1	105812	108173	-1	SL1344_0094	imp	CDS	organic solvent tolerance protein precursor
FQ312003.1	108426	109239	1	SL1344_0095	djlA	CDS	DnaJ-like protein
FQ312003.1	109333	109993	-1	SL1344_0096	rluA	CDS	ribosomal large subunit pseudouridine synthase A
FQ312003.1	110004	112911	-1	SL1344_0097	hepA	CDS	probable ATP-dependent helicase HepA
FQ312003.1	113084	115436	-1	SL1344_0098	polB	CDS	DNA polymerase II
FQ312003.1	115479	116100	-1	SL1344_0099	SL1344_0099	CDS	probable secreted protein
FQ312003.1	116194	116254	-1	SL1344_0099A	SL1344_0099A	pseudo	hypothetical inner membrane protein (pseudogene)
FQ312003.1	116818	117238	1	SL1344_0100	SL1344_0100	CDS	hypothetical protein
FQ312003.1	117243	117939	-1	SL1344_0101	araD	CDS	L-ribulose-5-phosphate 4-epimerase
FQ312003.1	118079	119582	-1	SL1344_0102	araA	CDS	L-arabinose isomerase
FQ312003.1	119592	121302	-1	SL1344_0103	araB	CDS	Ribulokinase
FQ312003.1	121642	122488	1	SL1344_0104	araC	CDS	arabinose operon regulatory protein
FQ312003.1	122606	123374	1	SL1344_0105	yabI	CDS	DedA family integral membrane protein
FQ312003.1	123412	124120	-1	SL1344_0106	thiQ	CDS	hypothetical ABC transporter
FQ312003.1	124103	125714	-1	SL1344_0107	thiP	CDS	hypothetical ABC transporter integral membrane protein
FQ312003.1	125689	126673	-1	SL1344_0108	tbpA	CDS	thiamine-binding periplasmic protein precursor
FQ312003.1	126850	128509	-1	SL1344_0109	yabN	CDS	hypothetical ABC transporter periplasmic solute binding protein
FQ312003.1	128601	128724	1	SL1344_0109A	sgrT	CDS	conserved sORF
FQ312003.1	129059	129665	-1	SL1344_0110	leuD	CDS	3-isopropylmalate dehydratase small subunit
FQ312003.1	129675	131076	-1	SL1344_0111	leuC	CDS	3-isopropylmalate dehydratase large subunit
FQ312003.1	131078	132170	-1	SL1344_0112	leuB	CDS	3-isopropylmalate dehydrogenase
FQ312003.1	132169	133741	-1	SL1344_0113	leuA	CDS	2-isopropylmalate synthase
FQ312003.1	133828	133915	-1	SL1344_0114	leuL	CDS	leu operon leader peptide
FQ312003.1	134571	135516	1	SL1344_0115	leuO	CDS	probable activator protein in leuABCD operon
FQ312003.1	135900	137562	1	SL1344_0116	ilvI	CDS	acetolactate synthase isozyme III large subunit
FQ312003.1	137564	138056	1	SL1344_0117	ilvH	CDS	acetolactate synthase isozyme III small subunit
FQ312003.1	138339	139344	1	SL1344_0118	fruR	CDS	fructose repressor
FQ312003.1	139949	140408	1	SL1344_0119	mraZ	CDS	conserved hypothetical protein.
FQ312003.1	140409	141351	1	SL1344_0120	mraW	CDS	S-adenosyl-methyltransferase
FQ312003.1	141347	141713	1	SL1344_0121	ftsL	CDS	cell division protein FtsL
FQ312003.1	141728	143495	1	SL1344_0122	ftsI	CDS	penicillin-binding protein 3 precursor
FQ312003.1	143481	144969	1	SL1344_0123	murE	CDS	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-di a minopimelate ligase
FQ312003.1	144965	146324	1	SL1344_0124	murF	CDS	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diam i nopimelate--D-alan alanyl ligase
FQ312003.1	146317	147400	1	SL1344_0125	mraY	CDS	Phospho-N-acetylmuramoyl-pentapeptide-transfera se
FQ312003.1	147402	148719	1	SL1344_0126	murD	CDS	UDP-N-acetylmuramoylalanine--D-glutamate ligase
FQ312003.1	148805	149963	1	SL1344_0127	ftsW	CDS	cell division protein FtsW
FQ312003.1	149959	151027	1	SL1344_0128	murG	CDS	UDP-N-acetylglucosamine--N-acetylmuramyl-
FQ312003.1	151145	152621	1	SL1344_0129	murC	CDS	UDP-N-acetylmuramate--L-alanine ligase
FQ312003.1	152613	153534	1	SL1344_0130	ddlB	CDS	D-alanine--D-alanine ligase
FQ312003.1	153535	154366	1	SL1344_0131	ftsQ	CDS	cell division protein FtsQ
FQ312003.1	154362	155625	1	SL1344_0132	ftsA	CDS	cell division protein FtsA
FQ312003.1	155685	156837	1	SL1344_0133	ftsZ	CDS	cell division protein FtsZ
FQ312003.1	156937	157855	1	SL1344_0134	lpxC	CDS	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
FQ312003.1	158202	158631	1	SL1344_0135	yacA	CDS	conserved hypothetical protein
FQ312003.1	158692	161398	1	SL1344_0136	secA	CDS	preprotein translocase SecA subunit
FQ312003.1	161549	161945	1	SL1344_0137	mutT	CDS	7,8-dihydro-8-oxoguanine-triphosphatase
FQ312003.1	162266	162458	-1	SL1344_0138	yacG	CDS	conserved hypothetical protein
FQ312003.1	162467	163211	-1	SL1344_0139	yacF	CDS	conserved hypothetical protein
FQ312003.1	163210	163831	-1	SL1344_0140	coaE	CDS	Dephospho-CoA kinase
FQ312003.1	164056	165100	1	SL1344_0141	guaC	CDS	GMP reductase
FQ312003.1	165130	166333	-1	SL1344_0142	pilC	CDS	competence gene-DNA binding and transport
FQ312003.1	166322	167708	-1	SL1344_0143	pilB	CDS	competence gene-DNA binding and transport
FQ312003.1	167717	168155	-1	SL1344_0144	pilA	CDS	competence gene-DNA binding and transport
FQ312003.1	168376	169123	-1	SL1344_0145	nadC	CDS	nicotinate-nucleotide pyrophosphorylase
FQ312003.1	169357	169921	1	SL1344_0146	ampD	CDS	AmpD protein (anhydro-N-acetylmuramyl-tripeptide amidase)
FQ312003.1	169917	170772	1	SL1344_0147	ampE	CDS	AmpE protein
FQ312003.1	170863	171814	-1	SL1344_0148	SL1344_0148	CDS	putatuve glycosysl hydrolase
FQ312003.1	171813	173220	-1	SL1344_0149	SL1344_0149	CDS	hypothetical symporter
FQ312003.1	173383	174757	-1	SL1344_0150	aroP	CDS	aromatic amino acid transport protein AroP
FQ312003.1	175319	176084	1	SL1344_0151	pdhR	CDS	pyruvate dehydrogenase complex repressor
FQ312003.1	176243	178907	1	SL1344_0152	aceE	CDS	pyruvate dehydrogenase E1 component
FQ312003.1	178921	180811	1	SL1344_0153	aceF	CDS	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase
FQ312003.1	181010	182435	1	SL1344_0154	lpdA	CDS	dihydrolipoamide dehydrogenase
FQ312003.1	182723	183008	1	SL1344_0155	SL1344_0155	CDS	probable secreted protein
FQ312003.1	183045	183837	-1	SL1344_0156	SL1344_0156	CDS	probable secreted protein
FQ312003.1	183849	185464	-1	SL1344_0157	yacH	pseudo	hypothetical exported protein
FQ312003.1	185852	188450	1	SL1344_0159	acnB	CDS	aconitate hydratase 2 (citrate hydro-lyase 2)
FQ312003.1	188510	189353	-1	SL1344_0160	SL1344_0160	CDS	HNH endonuclease
FQ312003.1	189598	189961	1	SL1344_0161	yacL	CDS	conserved hypothetical protein
FQ312003.1	190195	191149	1	SL1344_0162	kdgT	CDS	2-keto-3-deoxygluconate permease
FQ312003.1	191145	192417	1	SL1344_0163	SL1344_0163	CDS	conserved hypothetical protein
FQ312003.1	192406	193390	1	SL1344_0164	pdxAb	CDS	4-hydroxythreonine-4-phosphate dehydrogenase
FQ312003.1	193399	194167	1	SL1344_0165	SL1344_0165	CDS	hypothetical transcriptional regulator
FQ312003.1	194196	194991	-1	SL1344_0166	speD	CDS	S-adenosylmethionine decarboxylase, proenzyme
FQ312003.1	195011	195872	-1	SL1344_0167	speE	CDS	Spermidine synthase
FQ312003.1	195978	196326	-1	SL1344_0168	yacC	CDS	conserved hypothetical protein
FQ312003.1	196527	198138	1	SL1344_0169	cueO	CDS	possible multicopper oxidase precursor
FQ312003.1	198215	200606	-1	SL1344_0170	gcd	CDS	glucose dehydrogenase
FQ312003.1	200811	201348	1	SL1344_0171	hpt	CDS	hypoxanthine phosphoribosyltransferase
FQ312003.1	201405	202068	-1	SL1344_0172	yadF	CDS	carbonic anhydrase
FQ312003.1	202176	203103	1	SL1344_0173	yadG	CDS	hypothetical ABC transporter ATP-binding protein
FQ312003.1	203099	203870	1	SL1344_0174	yadH	CDS	ABC transporter integral membrane protein
FQ312003.1	203986	205066	-1	SL1344_0175	stiH	CDS	fimbrial protein
FQ312003.1	205074	207621	-1	SL1344_0176	stiC	CDS	fimbrial usher protein
FQ312003.1	207647	208331	-1	SL1344_0177	stiB	CDS	fimbrial usher protein
FQ312003.1	208378	208918	-1	SL1344_0178	stiA	CDS	fimbrial subunit
FQ312003.1	209288	209729	1	SL1344_0179	yadI	CDS	hypothetical PTS system IIA component
FQ312003.1	209790	211020	1	SL1344_0180	yadE	CDS	conserved hypothetical protein
FQ312003.1	211026	211407	-1	SL1344_0181	panD	CDS	aspartate 1-decarboxylase
FQ312003.1	211501	212356	-1	SL1344_0182	panC	CDS	Pantoate--beta-alanine ligase
FQ312003.1	212481	213273	-1	SL1344_0183	panB	CDS	3-methyl-2-oxobutanoate hydroxymethyltransferase
FQ312003.1	213393	213873	-1	SL1344_0184	folK	CDS	2-amino-4-hydroxy-6- hydroxymethyldihydropteridinepyrophosphokinase
FQ312003.1	213869	215288	-1	SL1344_0185	pcnB	CDS	poly(A) polymerase
FQ312003.1	215428	216370	-1	SL1344_0186	yadB	CDS	glutamyl-tRNA synthetase-related protein
FQ312003.1	216393	216849	-1	SL1344_0187	dksA	CDS	dosage-dependent dnaK suppressor protein
FQ312003.1	217025	217730	-1	SL1344_0188	sfsA	CDS	Sugar fermentation stimulation protein homolog.
FQ312003.1	217746	218277	-1	SL1344_0189	ligT	CDS	2'-5' RNA ligase
FQ312003.1	218304	220779	1	SL1344_0190	hrpB	CDS	ATP-dependent helicase HrpB
FQ312003.1	220919	223442	1	SL1344_0191	mrcB	CDS	penicillin-binding protein 1b; peptidoglycan synthetase
FQ312003.1	223734	225924	1	SL1344_0192	fhuA	CDS	ferrichrome-iron receptor
FQ312003.1	225972	226770	1	SL1344_0193	fhuC	CDS	ferrichrome transport ATP-binding protein FhuC
FQ312003.1	226769	227660	1	SL1344_0194	fhuD	CDS	ferrichrome-binding periplasmic protein precursor
FQ312003.1	227656	229714	1	SL1344_0195	fhuB	CDS	ferrichrome transport protein FhuB precursor
FQ312003.1	230652	231213	1	SL1344_0196	stfA	CDS	major fimbrial subunit stfa (hypothetical fimbrial subunit)
FQ312003.1	231298	233956	1	SL1344_0197	stfC	CDS	outer membrane usher protein stfc (hypothetical fimbrial outer membrane usher)
FQ312003.1	233973	234726	1	SL1344_0198	stfD	CDS	periplasmic fimbrial chaperone stfd
FQ312003.1	234789	235257	1	SL1344_0199	stfE	CDS	minor fimbrial subunit stfe (putaive minor fimbrial subunit)
FQ312003.1	235253	235730	1	SL1344_0200	stfF	CDS	minor fimbrial subunit stff
FQ312003.1	235729	236260	1	SL1344_0201	stfG	CDS	hypothetical minor fimbrial subunit
FQ312003.1	236259	237099	1	SL1344_0202	SL1344_0202	CDS	hypothetical exported protein
FQ312003.1	237206	238487	-1	SL1344_0203	hemL	CDS	Glutamate-1-semialdehyde 2,1-aminomutase
FQ312003.1	238656	240078	1	SL1344_0204	clcA	CDS	hypothetical membrane protein
FQ312003.1	240159	240504	1	SL1344_0205	yadR	CDS	conserved hypothetical protein
FQ312003.1	240604	241228	-1	SL1344_0206	yadS	CDS	hypothetical membrane protein
FQ312003.1	241264	242065	-1	SL1344_0207	btuF	CDS	Vitamin B12 transport protein btuF precursor.
FQ312003.1	242057	242756	-1	SL1344_0208	mtn	CDS	MTA/SAH nucleosidase
FQ312003.1	243050	244358	1	SL1344_0209	dgt	CDS	Deoxyguanosinetriphosphate triphosphohydrolase
FQ312003.1	244487	245915	1	SL1344_0210	htrA	CDS	protease DO precursor; heat shock protein HtrA
FQ312003.1	246067	247225	1	SL1344_0211	cdaR	CDS	conserved hypothetical protein
FQ312003.1	247313	247700	-1	SL1344_0212	yaeH	CDS	conserved hypothetical protein
FQ312003.1	248222	249248	1	SL1344_0213	SL1344_0213	CDS	hypothetical inner membrane protein
FQ312003.1	249284	250109	-1	SL1344_0214	dapD	CDS	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
FQ312003.1	250138	252811	-1	SL1344_0215	glnD	CDS	[Protein-PII] uridylyltransferase
FQ312003.1	253047	253842	-1	SL1344_0216	map	CDS	methionine aminopeptidase
FQ312003.1	254292	255018	1	SL1344_0217	rpsB	CDS	30S ribosomal protein S2
FQ312003.1	255275	256127	1	SL1344_0218	tsf	CDS	Elongation factor Ts
FQ312003.1	256271	256997	1	SL1344_0219	pyrH	CDS	Uridylate kinase
FQ312003.1	257143	257701	1	SL1344_0220	frr	CDS	Ribosome recycling factor
FQ312003.1	257841	259038	1	SL1344_0221	dxr	CDS	1-deoxy-D-xylulose 5-phosphate reductoisomerase
FQ312003.1	259350	260109	1	SL1344_0222	uppS	CDS	undecaprenyl pyrophosphate synthetase
FQ312003.1	260121	260979	1	SL1344_0223	cdsA	CDS	phosphatidate cytidylyltransferase
FQ312003.1	260990	262343	1	SL1344_0224	yaeL	CDS	hypothetical membrane protein
FQ312003.1	262374	264789	1	SL1344_0225	yaeT	CDS	outer membrane protein precursor
FQ312003.1	264911	265397	1	SL1344_0226	hlpA	CDS	outer membrane protein OmpH precursor
FQ312003.1	265400	266426	1	SL1344_0227	lpxD	CDS	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
FQ312003.1	266531	266987	1	SL1344_0228	fabZ	CDS	(3R)-hydroxymyristol acyl carrier protein dehydrase
FQ312003.1	266990	267779	1	SL1344_0229	lpxA	CDS	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucos amine O-acyltransferase
FQ312003.1	267778	268927	1	SL1344_0230	lpxB	CDS	Lipid-A-disaccharide synthase
FQ312003.1	268923	269520	1	SL1344_0231	rnhB	CDS	ribonuclease HII
FQ312003.1	269543	273026	1	SL1344_0232	dnaE	CDS	DNA polymerase III, alpha chain
FQ312003.1	273038	273998	1	SL1344_0233	accA	CDS	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
FQ312003.1	274177	275941	1	SL1344_0234	SL1344_0234	CDS	hypothetical secreted chitinase
FQ312003.1	276016	278158	1	SL1344_0235	ldcC	CDS	lysine decarboxylase
FQ312003.1	278213	278603	1	SL1344_0236	yaeR	CDS	conserved hypothetical protein
FQ312003.1	278746	279958	1	SL1344_0237	mesJ	CDS	cell cycle protein MesJ
FQ312003.1	280041	280296	-1	SL1344_0238	rof	CDS	ROF protein
FQ312003.1	280288	280507	-1	SL1344_0239	yaeP	CDS	Hypothetical UPF0253 protein <ORFName>.
FQ312003.1	280686	281232	1	SL1344_0240	yaeQ	CDS	conserved hypothetical protein
FQ312003.1	281228	281651	1	SL1344_0241	yaeJ	CDS	hypothetical release factor
FQ312003.1	281682	282384	1	SL1344_0242	cutF	CDS	copper homeostasis protein CutF precursor (lipoprotein nlpE)
FQ312003.1	282457	284176	-1	SL1344_0243	proS	CDS	prolyl-tRNA synthetase
FQ312003.1	284286	284994	-1	SL1344_0244	yaeB	CDS	conserved hypothetical protein
FQ312003.1	284990	285395	-1	SL1344_0245	rcsF	CDS	RcsF protein
FQ312003.1	285513	286329	-1	SL1344_0246	metQ	CDS	hypothetical lipoprotein precursor
FQ312003.1	286367	287021	-1	SL1344_0247	yaeE	CDS	hypothetical ABC transporter permease protein
FQ312003.1	287013	288045	-1	SL1344_0248	abc	CDS	hypothetical ABC transporter ATP-binding protein
FQ312003.1	288234	288801	1	SL1344_0249	yaeD	CDS	conserved hypothetical protein
FQ312003.1	295059	295863	1	SL1344_0250	dkgB	CDS	hypothetical oxidoreductase
FQ312003.1	295883	296798	-1	SL1344_0251	yafC	CDS	hypothetical transcriptional regulator
FQ312003.1	296902	298078	1	SL1344_0252	SL1344_0252	CDS	hypothetical drug efflux protein
FQ312003.1	298230	299010	1	SL1344_0253	yafD	CDS	hypothetical protein
FQ312003.1	299087	299858	1	SL1344_0254	yafE	CDS	hypothetical methyltransferase
FQ312003.1	299913	301281	-1	SL1344_0255	dniR	CDS	membrane-bound lytic murein transglycosylase d precursor
FQ312003.1	301352	302108	-1	SL1344_0256	gloB	CDS	probable hydroxyacylglutathione hydrolase
FQ312003.1	302142	302865	1	SL1344_0257	yafS	CDS	conserved hypothetical protein
FQ312003.1	302861	303329	-1	SL1344_0258	rnhA	CDS	ribonuclease H
FQ312003.1	303392	304124	1	SL1344_0259	dnaQ	CDS	DNA polymerase III epsilon subunit
FQ312003.1	304655	305711	-1	SL1344_0260	sciA	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	305721	306717	-1	SL1344_0261	sciB	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	306713	308597	-1	SL1344_0262	sciC	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	308612	309107	-1	SL1344_0263	sciD	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	309103	309928	-1	SL1344_0264	sciE	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	309914	310817	-1	SL1344_0265	sciF	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	311184	313824	1	SL1344_0266	sciG	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	313923	314466	1	SL1344_0267	sciH	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	314489	315983	1	SL1344_0268	sciI	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	316168	316615	1	SL1344_0270	sciJ	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	316868	317354	1	SL1344_0271	sciK	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	317658	318144	1	SL1344_0272	SL1344_0272	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	318128	318512	1	SL1344_0273	SL1344_0273	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	318654	319140	1	SL1344_0274	sciK1	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	319206	319743	1	SL1344_0275	sciN	CDS	lipoprotein (SPI-6 associated)
FQ312003.1	319746	321090	1	SL1344_0276	sciO	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	321086	322391	1	SL1344_0277	sciP	CDS	hypothetical membrane protein (SPI-6 associated)
FQ312003.1	322395	323169	1	SL1344_0278	sciQ	CDS	hypothetical membrane protein, virulence associated protein
FQ312003.1	323371	323803	1	SL1344_0279	sciR	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	323836	327706	1	SL1344_0280	sciS	CDS	probable IcmF-related integral membrane ATP-binding protein, virulence associated protein
FQ312003.1	327705	328494	1	SL1344_0281	sciT	CDS	conserved hypothetical protein (SPI-6 associated)
FQ312003.1	328490	328907	1	SL1344_0282	sciU	CDS	probable secreted protein
FQ312003.1	328930	329452	1	SL1344_0283	sciV	CDS	conserved hypothetical protein (SPI-6 associated)
